file,#,organization-name,city-state,organization-type,position-held,from,to
"Department of Education/Lee, Ebony Letise",2,National Association of Charter School Authorizers,"Chicago, Illinois",Non-Profit,Advisory Board Member,/2011,2/2017
"Department of Education/Lee, Ebony Letise",3,National Charter School Resource Center (Managed by Safal Partners),"Houston, Texas",Non-Profit,Advisory Board Member,/2015,2/2017
"Department of Education/Manning, James",1,CONSULTANT / SELF EMPLOYED,"FAIRFAX STATION, Virginia",SELF EMPLOYED,CONSULTANT,1/2015,1/2017
"Department of Education/Reynolds, Cody",1,"Grand Tots, Inc.","Cedar Lake, Indiana",Non-Profit,Development Officer,8/2009,4/2016
"Department of Education/Reynolds, Cody",2,"Bed, Bath, & Beyond, Inc.","Bloomington, Indiana",Corporation,Sales Associate,5/2015,8/2015
"Department of Education/Ruddock, Neil",1,Foundation for Excellence in Education,"Tallahassee, Florida",Non-Profit,Regional Advocacy Director,6/2012,6/2016
"Department of Education/Ruddock, Neil",2,Excellence in Education National d/b/a Excellence in Education in Action,"Tallahassee, Florida",Non-Profit,Regional Advocacy Director,1/2014,6/2016
"Department of Education/Shaheen, Patrick",1,New Hampshire Republican State Committee,"Concord, New Hampshire",Non-Profit,Regional Field Director,7/2016,11/2016
"Department of Education/Shaheen, Patrick",2,Americans for Prosperity Foundation,"Manchester, New Hampshire",Non-Profit,Field Staffer,7/2014,5/2016
"Department of Education/Ventimiglia, Eric",1,Michigan House of Representatives,"Lansing, Michigan",State Government,Constituent Relations Manager,1/2015,12/2016
"Department of Education/Young, Patrick",1,Onyx AV,"Arlington, Virginia",Corporation,Operations/Proj ect Manager,9/2013,5/2016
"Department of Education/Young, Patrick",2,Event Strategies Inc,"Alexandria, Virginia",Corporation,Freelance Project Management,7/2016,10/2016
"Department of Education/Young, Patrick",3,2017 Presidential Inaugural Committee,"Washington DC, District of Columbia",Presidential Inaugural Committee,"Manager, Public Events",12/2016,1/2017
"Department of Education/Young, Patrick",4,Design Foundry,"Hyattsville, Maryland",Corporation,Freelance Events Manager,9/2016,10/2016
"Department of Housing and Urban Development/Barton, Victoria",1,"JMJ Development, INC","Dallas, Texas",Corporation,Officer Manager,8/2014,2/2016
"Department of Housing and Urban Development/Barton, Victoria",2,58th Presidential Inaugural Committee,"Washington, District of Columbia",Non-Profit,Public Liaison Officer,12/2016,1/2017
"Department of Housing and Urban Development/Bass, Deidre",1,Bass Public Affairs,"Alexandria, Virginia",Corporation,Partner,4/2008,Present
"Department of Housing and Urban Development/Bass, Deidre",2,Salem College,,University/Colle ge,Board of Trustees,1/2002,12/2016
"Department of Housing and Urban Development/Bowes, Robert",1,"Donald J. Trump for President, Inc.","New York, New York",Corporation,Field Director,2/2016,11/2016
"Department of Housing and Urban Development/Coffey, Alexander",1,NAI Rauch Weaver Kurtz & Co.,,Corporation,Associate,4/2016,1/2017
"Department of Housing and Urban Development/Gribbin, Anne",1,Heritage Foundation,"washington, District of Columbia",Non-Profit,Intern,9/2016,12/2016
"Department of Housing and Urban Development/Holderfield, Stephanie",1,Champaign County Realtor Association,"Champaign, Illinois",Real Estate,Licensed Broker,7/1994,2/2017
"Department of Housing and Urban Development/Holderfield, Stephanie",2,413 Consulting,"Mahomet, Illinois",Corporation,Manager,10/2015,1/2017
"Department of Housing and Urban Development/Holderfield, Stephanie",3,Consulting,"Mahomet, Illinois",Independent Contractor,Media Consultant,1/2015,11/2015
"Department of Housing and Urban Development/Hughes, Andrew",1,The University of Texas System,"Washington, District of Columbia",University/Colle ge,Special Projects Coordinator,3/2016,1/2017
"Department of Housing and Urban Development/Hughes, Andrew",2,Uber Technologies,"Alexandria, Virginia",Corporation,Driver,3/2016,6/2016
"Department of Housing and Urban Development/Kasper, Maren",1,"Roofstock, Inc","Oakland, California",Corporation,director,1/2016,1/2017
"Department of Housing and Urban Development/Kasper, Maren",2,B2R Finance,"Charlotte, North Carolina",Corporation,Investment associate,1/2015,12/2015
"Department of Housing and Urban Development/Kasper, Maren",3,Wells Fargo,"San Francisco, California",Corporation,Associate,11/2009,1/2015
"Department of Housing and Urban Development/Patton, Lynne",1,The Trump Organization,"New York, New York",Corporation,Vice President & Senior Aide to the Trump Family,3/2009,1/2017
"Department of Housing and Urban Development/Patton, Lynne",2,The Eric Trump Foundation,"New York, New York",Non-Profit,Vice President and Board Member,1/2009,1/2017
"Department of Housing and Urban Development/Petty, Timothy",1,Gibbons P.C.,"Newark, New Jersey",Law Firm,Associate Attorney,10/2012,1/2017
"Department of the Treasury/Bohigian, David",1,Pluribus Ventures LLC,"Washington, District of Columbia",Corporation,Managing Director,1/2013,1/2017
"Department of the Treasury/Bohigian, David",2,Build.org,"San Franscisco, California",Non-Profit,Board of Directors,10/2014,6/2016
"Department of the Treasury/Bohigian, David",3,"American Research Capital, LLC","Seattle, Washington",Corporation,Advisor,9/2015,1/2017
"Department of the Treasury/Bohigian, David",4,Volunteer Presidential Transition Team Member,"Washington, District of Columbia",Non-Profit,Volunteer- Commerce Department Landing Team,10/2016,1/2017
"Department of the Treasury/Chung, Jason",1,Republican National Committee,"Washington, District of Columbia",Political Party/Political Organization,National Director for Asian American and Pacific Islander Engagement,4/2013,1/2017
"Department of the Treasury/Claver-Carone, Mauricio",1,Cuba Democracy Advocates,"Washington, District of Columbia",Non-Profit,Executive Director,1/2004,1/2017
"Department of the Treasury/Claver-Carone, Mauricio",2,"Cuba Democracy Public Advocacy, Corp.","Washington, District of Columbia",Non-Profit,Executive Director,1/2004,1/2017
"Department of the Treasury/Claver-Carone, Mauricio",3,"Cambridge Social Science Decision Lab, Inc.","Washington, District of Columbia",Corporation,Director (Board),10/2013,Present
"Department of the Treasury/Claver-Carone, Mauricio",4,"National Latino Broadcasting, Inc.","Miami, Florida",Corporation,Radio Host,1/2012,8/2015
"Department of the Treasury/Claver-Carone, Mauricio",5,GMCC Partners,"Miami, Florida",Partnership,Partner,8/2008,1/2017
"Department of the Treasury/Hauptman, Kyle",1,Main Street Growth Project,"Washington, District of Columbia",Non-Profit,Managing Director,9/2015,1/2017
"Department of the Treasury/Hauptman, Kyle",2,American Enterprise Institute,"Washington, District of Columbia",Non-Profit,Senior Development Manager,3/2013,8/2015
"Department of the Treasury/Maloney, Andrew",1,Hess Corporation,"Washington, District of Columbia",Corporation,Vice President,11/2012,Present
"Department of the Treasury/Maloney, Andrew",2,Meridian International Center,"Washington, District of Columbia",Non-Profit,Board of Trustees,7/2013,Present
"Department of the Treasury/Maloney, Andrew",3,Randolph-Macon College,"Ashland, Virginia",University/Colle ge,Trustee,10/2010,Present
"Department of the Treasury/Maloney, Andrew",4,AKM Revocable Living Trust,"Washington, District of Columbia",Trust,Trustee,10/2003,Present
"Department of the Treasury/Maloney, Andrew",5,SKM Revocable Living Trust,"Washington, District of Columbia",Trust,Trustee,10/2003,Present
"Department of the Treasury/Maloney, Andrew",6,Business Government Relations Council,"Washington, District of Columbia",Non-Profit,Member of Board of Directors,1/2013,Present
"Department of the Treasury/Maloney, Andrew",7,U.S. Chamber of Commerce,"Washington, District of Columbia",Non-Profit,Member of Public Affairs Committee,1/2015,Present
"Department of the Treasury/Miller, Eli",1,"Insperity PEO Services, L.P.","Kingwood, Texas",Professional Employer Organization,Chief Operating Officer (Finance) for Donald J. Trump for President,5/2015,1/2017
"Department of the Treasury/Miller, Eli",2,Americans for Prosperity Foundation,"Arlington, Virginia",Corporation,Senior Development Officer,1/2013,4/2015
"Department of the Treasury/Mkrtchian, Edgar",1,K&L Gates LLP,"Pittsburgh, Pennsylvania",Law Firm,Summer Associate,5/2016,7/2016
"Department of the Treasury/Mkrtchian, Edgar",2,FINRA,"Atlanta, Georgia",Self-Regulatory Organization,Legal,5/2015,6/2015
"Department of the Treasury/Mkrtchian, Edgar",3,Shaw & Murphy LLP,"Ithaca, New York",Law Firm,Law Clerk,8/2015,9/2016
"Department of the Treasury/Mkrtchian, Edgar",4,International Tax Group,"La Canada, California",Single-Member LLC,President,11/2012,5/2016
"Department of the Treasury/Phillips, Craig",1,BlackRock,"New York, New York",Corporation,Managing Director,4/2008,1/2017
"Department of the Treasury/Phillips, Craig",2,Vanderbilt University,"Nashville, Tennessee",University/Colle ge,"Member, Board of Visitors",1/2010,Present
"Department of the Treasury/Phillips, Craig",3,11-15 East 70th Street Condominium Association,"New York, New York",Condominium Association,"President, Board of Managers",5/2014,Present
"Department of the Treasury/Phillips, Craig",4,Cassique Holdings LLC,"New York, New York",Limited Liability Company,Sole Member,8/2012,Present
"Department of the Treasury/Phillips, Craig",5,University of Virginia,"Charlottesville, Virginia",University/Colle ge,"Member, Parents Committee",1/2014,Present
"Department of the Treasury/Rubinstein, Reed",1,Dinsmore & Shohl LLP,"Washington, District of Columbia",Law Firm,Partner,3/2012,1/2017
"Department of the Treasury/Rubinstein, Reed",2,Cause of Action Institute,"Washington, District of Columbia",501(c)(3) corporation,Senior Vice President for Litigation,3/2014,8/2015
"Department of the Treasury/Smith, Andrew",1,Bank of America Merrill Lynch,"Houston, Texas",Corporation,Analyst,8/2015,2/2016
"Department of the Treasury/Wrennall-Montes, Sarah",1,Nancy Goldstein,"New York, New York",Home,Book Keeper/Bill Payer,5/2013,Present
"Department of the Treasury/Wrennall-Montes, Sarah",2,Matrix Home Owners Association,"Washington, District of Columbia",Home Owners Association,President,12/2012,1/2016
"Department of Veterans Affairs/Blaha, Lydia B.",1,Trump for Colorado,"Denver, Colorado",Campaign,Communication s Director,7/2016,11/2016
"Department of Veterans Affairs/Blaha, Lydia B.",2,Presidential Inaugural Committee,"Washington, District of Columbia",PIC,Communication s Coordinator,12/2016,1/2017
"Environmental Protection Agency/Davis, Patrick",1,"Patrick Davis Consulting, LLC","Colorado Springs, Colorado",Corporation,President,1/2005,Present
"Environmental Protection Agency/Davis, Patrick",2,Telephone Town Hall Meeting,"Golden, Colorado",Corporation,Sales Director,8/2014,Present
"Environmental Protection Agency/Dravis, Samantha",1,Republican Attorneys General Association,"Washington, District of Columbia",,"Policy Director, General Counsel",9/2015,2/2017
"Environmental Protection Agency/Dravis, Samantha",2,Freedom Partners Chamber of Commerce,"Arlington, Virginia",501(c)(6),Legal Counsel,7/2013,9/2015
"Environmental Protection Agency/Dravis, Samantha",3,Rule of Law Defense Fund,"Washington, District of Columbia",Non-Profit,President,9/2015,2/2017
"Environmental Protection Agency/Greaves, Holly",1,KPMG,"Washington, District of Columbia",Corporation,Senior Manager,8/2008,1/2017
"Environmental Protection Agency/Gunasekara, Amanda",1,National Association of Chemical Distributors,"Arlington, Virginia",Trade Association,Senior Director of Federal Affairs,10/2014,1/2015
"Environmental Protection Agency/Kreutzer, David",1,The Heritage Foundation,"Washington, District of Columbia",Non-Profit,Senior Research Fellow in Energy Economics and Climate Change,3/2015,1/2017
"Environmental Protection Agency/Schwab, Justin",1,Baker&Hostetler LLC,"Washington, District of Columbia",Law Firm,Associate,1/2013,1/2017
"Environmental Protection Agency/Wilcox, Jahan",1,Doug Burgum for North Dakota,"Fargo, North Dakota",Campaign,Communication s Director,8/2016,12/2016
"Environmental Protection Agency/Wilcox, Jahan",2,Marco Rubio for President,"Washington, District of Columbia",Campaign,Rapid Response Director,7/2015,3/2016
"Environmental Protection Agency/Wilcox, Jahan",3,National Republican Senatorial Committee,"Washington, District of Columbia",Campaign,Rapid Response Director,2/2015,7/2015
"Export-Import Bank of the United States/Law, Jesse",1,Reach for the Sky LLC,"Las Vegas, Nevada",Corporation,Owner,4/2010,9/2016
"Export-Import Bank of the United States/Law, Jesse",2,Low VA Rates,"Las Vegas, Nevada",Corporation,Loan Officer,9/2014,1/2016
"Export-Import Bank of the United States/Law, Jesse",3,Donald J Trump for President,"Las Vegas, Nevada",Political Campaign,Election Day Operations Director,10/2016,11/2016
"Export-Import Bank of the United States/Law, Jesse",4,The 2016 Commitee,"Alexandria, Virginia",Corporation,Organizer,10/2015,3/2016
"Federal Communications Commission/Roddy, Carolyn",1,Georgia Technology Authority,"Atlanta, Georgia",State Agency,"Member, Board of Directors",1/2014,Present
"Federal Communications Commission/Roddy, Carolyn",2,"Carolyn Tatum Roddy, PC","Marietta, Georgia",Solo Legal Practice,Attorney,6/2009,2/2017
"Office of the U.S. Trade Representative/Feit, Yecheil",1,Pearl Capital Business Ventures,"New York, New York",Corporation,CFO,2/2015,8/2016
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",1,King & Spalding LLP,"Washington, District of Columbia",Law Firm,Partner,1/2016,1/2017
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",2,"Skadden, Arps, Slate, Meagher, and Flom LLP","Washington, District of Columbia",Law Firm,Counsel,10/1992,12/2015
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",3,Georgetown University Law Center,"Washington, District of Columbia",University/Colle ge,Adjunct Professor,9/2013,12/2016
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",4,Radio Ingraham,"Bethesda, Maryland",Corporation,Consultant,1/2016,12/2016
"Senate-confirmed/Acosta, Rene Alexander",1,Florida International University,"Miami, Florida",University/Colle ge,Dean of the College of Law,7/2009,Present
"Senate-confirmed/Acosta, Rene Alexander",2,Breakthrough Miami,"Miami, Florida",Non-Profit,Director,2/2017,Present
"Senate-confirmed/Acosta, Rene Alexander",3,Gulliver Schools,"Miami, Florida",Non-Profit,Trustee,11/2016,Present
"Senate-confirmed/Acosta, Rene Alexander",4,Gulliver Schools,"Miami, Florida",Non-Profit,"Chair, Board of Trustees",11/2014,11/2016
"Senate-confirmed/Acosta, Rene Alexander",5,U.S. Century Bank,"Miami, Florida",Corporation,"Chair, Board of Directors",12/2013,Present
"Senate-confirmed/Acosta, Rene Alexander",6,American Bar Association Commission on Hispanic Legal Rights and Responsibilities,"Chicago, Illinois",Professional Organization,Chairman,8/2015,Present
"Senate-confirmed/Bernhardt, David L",1,"Brownstein Hyatt Farber and Schreck, LLP","Washington, District of Columbia",Law Firm,Shareholder,6/2009,Present
"Senate-confirmed/Bernhardt, David L",2,"Bernhardt Brothers Land and Cattle, LLC","Greeley, Colorado",Limited Liablity Company,Managing Member,6/2012,Present
"Senate-confirmed/Bernhardt, David L",3,Virginia Board of Game and Inland Fisheries,"Richmond, Virginia",State Agency,Board Member/guber natorial term appointment,8/2012,6/2016
"Senate-confirmed/Bernhardt, David L",4,Center for Environmental Science Accuracy and Reliabilty,"Dixon, California",Non-Profit,Board Member/volunt eer,6/2012,Present
"Senate-confirmed/Brouillette, Danny R",1,United Services Automobile Association (USAA),"San Antonio, Texas",Corporation,Senior Vice President,6/2006,Present
"Senate-confirmed/Brouillette, Danny R",2,Louisiana State Mineral and Energy Board,"Baton Rouge, Louisiana",State Government,Member,3/2013,1/2016
"Senate-confirmed/Carson, Benjamin",1,"Carson Scholars Fund, Inc.","Towson, Maryland",Non-Profit,"Co-Founder, President",5/1994,Present
"Senate-confirmed/Carson, Benjamin",2,Kellogg Company,"Battle Creek, Michigan",Corporation,"Member, Board of Directors",8/1997,5/2015
"Senate-confirmed/Carson, Benjamin",3,Costco Wholesale Corp.,"Issaquah, Washington",Corporation,"Member, Board of Directors",5/1999,5/2015
"Senate-confirmed/Carson, Benjamin",4,Academy of Achievement,"Washington, District of Columbia",Non-Profit,"Member, Board of Directors",1/2003,Present
"Senate-confirmed/Carson, Benjamin",5,"BenCan, LLC","Pittsburgh, Pennsylvania",Corporation,Manager and Member,1/2007,Present
"Senate-confirmed/Carson, Benjamin",6,"American Business Collaborative, LLC","West Palm Beach, Florida",Corporation,Manager and Member,6/2013,Present
"Senate-confirmed/Carson, Benjamin",7,"Berg, LLC","Framingham, Massachusetts",Corporation,"Member, Advisory Board",1/2013,5/2015
"Senate-confirmed/Carson, Benjamin",8,"Vaccinogen, Inc.","Baltimore, Maryland",Corporation,"Chairman, Board of Directors",8/2014,5/2015
"Senate-confirmed/Carson, Benjamin",9,"HomeCentris Healthcare, LLC","Baltimore, Maryland",Corporation,"Member, Advisory Board",3/2015,5/2015
"Senate-confirmed/Chao, Elaine L",1,The Heritage Foundation,"Washington, District of Columbia",Non-Profit,Distinguished Fellow,1/2009,6/2016
"Senate-confirmed/Chao, Elaine L",2,News Corporation,"New York, New York",Corporation,Director,10/2012,Present
"Senate-confirmed/Chao, Elaine L",3,Protective Life Insurance,"Birmingham, Alabama",Corporation,Director,6/2011,2/2015
"Senate-confirmed/Chao, Elaine L",4,Wells Fargo & Company,"San Francisco, California",Corporation,Director,6/2011,Present
"Senate-confirmed/Chao, Elaine L",5,"Centerra Group, LLC","Palm Beach Gardens, Florida",Corporation,Director,7/2015,12/2015
"Senate-confirmed/Chao, Elaine L",6,Ingersoll Rand,"Dublin, Outside U.S.",Corporation,Director,6/2015,Present
"Senate-confirmed/Chao, Elaine L",7,Vulcan Materials,"Birmingham, Alabama",Corporation,Director,2/2015,Present
"Senate-confirmed/Chao, Elaine L",8,The Bloomberg Family Foundation Inc,"New York, New York",Corporation,Director,4/2012,2/2015
"Senate-confirmed/Chao, Elaine L",9,Hudson Institute,"Washington, District of Columbia",Non-Profit,Distinguished Fellow,6/2016,Present
"Senate-confirmed/Chao, Elaine L",10,Firebird International LLC,"Louisville, Kentucky",Limited Liability Company,Sole Member,5/2009,Present
"Senate-confirmed/Chao, Elaine L",11,Elaine L Chao Revocable Trust,"Louisville, Kentucky",Trust,Trustee,9/2012,Present
"Senate-confirmed/Chao, Elaine L",12,Ford's Theatre,"Washington, District of Columbia",Non-Profit,"At Large Member, Board of Trustee",1/2010,Present
"Senate-confirmed/DeVos, Elisabeth P",1,"The Stow Company - Holland, Inc.","Holland, Michigan",Corporation,Chief Creative Officer,5/2016,11/2016
"Senate-confirmed/DeVos, Elisabeth P",2,"The Stow Company - Holland, Inc.","Holland, Michigan",Corporation,Director,6/1994,11/2016
"Senate-confirmed/DeVos, Elisabeth P",3,"RCB Main Floor, LLC (d/b/a ""Reserve GR, LLC"")","Grand Rapids, Michigan",Corporation,Director,3/2010,11/2016
"Senate-confirmed/DeVos, Elisabeth P",4,The Stow Company,"Holland, Michigan",Corporation,Director,5/2010,11/2016
"Senate-confirmed/DeVos, Elisabeth P",5,"Neurocore, LLC","Grand Rapids, Michigan",Corporation,Member/Manag er,2/2009,11/2016
"Senate-confirmed/DeVos, Elisabeth P",6,"Windquest Group, Inc.","Grand Rapids, Michigan",Corporation,Director,8/1989,11/2016
"Senate-confirmed/DeVos, Elisabeth P",7,RDV Corporation,"Grand Rapids, Michigan",Corporation,Director,1/1998,11/2016
"Senate-confirmed/DeVos, Elisabeth P",8,"RDV Sports, Inc.","Grand Rapids, Michigan",Corporation,Director,11/1991,11/2016
"Senate-confirmed/DeVos, Elisabeth P",9,Dick and Betsy DeVos Family Foundation,"Grand Rapids, Michigan",Non-Profit,Chairperson,1/2016,12/2016
"Senate-confirmed/DeVos, Elisabeth P",10,Dick and Betsy DeVos Family Foundation,"Grand Rapids, Michigan",Non-Profit,Director,12/1989,12/2016
"Senate-confirmed/DeVos, Elisabeth P",11,"Alliance for School Choice, Inc. (d/b/a ""American Federation for Children Growth Fund"")","Washington, District of Columbia",Non-Profit,Director,3/2008,11/2016
"Senate-confirmed/DeVos, Elisabeth P",12,The Philanthropy Roundtable,"Washington, District of Columbia",Non-Profit,Director,12/2014,11/2016
"Senate-confirmed/DeVos, Elisabeth P",13,"Foundation for Excellence in Education, Inc.","Tallahassee, Florida",Non-Profit,Director,11/2012,11/2016
"Senate-confirmed/DeVos, Elisabeth P",14,American Enterprise Institute for Public Policy Research,"Washington, District of Columbia",Non-Profit,Trustee,9/2015,11/2016
"Senate-confirmed/DeVos, Elisabeth P",15,"American Federation for Children, Inc.","Washington, District of Columbia",Non-Profit,Director,1/2004,11/2016
"Senate-confirmed/DeVos, Elisabeth P",16,GLEP Education Fund,"Lansing, Michigan",Non-Profit,Director,9/2008,11/2016
"Senate-confirmed/DeVos, Elisabeth P",17,GLEP Education Fund,"Lansing, Michigan",Non-Profit,Secretary,9/2008,11/2016
"Senate-confirmed/DeVos, Elisabeth P",18,ArtPrize Grand Rapids,"Grand Rapids, Michigan",Non-Profit,Director,3/2009,11/2016
"Senate-confirmed/DeVos, Elisabeth P",19,"All Children Matter, Inc.","Alexandria, Virginia",Non-Profit,Director,6/2005,11/2016
"Senate-confirmed/DeVos, Elisabeth P",20,Great Lakes Education Foundation,"Lansing, Michigan",Non-Profit,Director,2/2011,11/2016
"Senate-confirmed/DeVos, Elisabeth P",21,Great Lakes Education Foundation,"Lansing, Michigan",Non-Profit,Vice President,2/2011,11/2016
"Senate-confirmed/DeVos, Elisabeth P",22,Family Trust 2,"Grand Rapids, Michigan",Trust,Co-Trustee,5/2008,Present
"Senate-confirmed/DeVos, Elisabeth P",23,Family Trust 11,"Grand Rapids, Michigan",Trust,Co-Trustee,4/1981,Present
"Senate-confirmed/DeVos, Elisabeth P",24,Family Trust 12,"Grand Rapids, Michigan",Trust,Co-Trustee,4/1981,Present
"Senate-confirmed/DeVos, Elisabeth P",25,Excellence in Education in Action,"Tallahassee, Florida",Non-Profit,Director,4/2014,11/2016
"Senate-confirmed/DeVos, Elisabeth P",26,"Windquest Group, Inc.","Grand Rapids, Michigan",Corporation,Chair,1/1998,11/2016
"Senate-confirmed/DeVos, Elisabeth P",27,"American Federation for Children Action Fund, Inc.","Alexandria, Virginia",Non-Profit,Director,1/2010,11/2016
"Senate-confirmed/DeVos, Elisabeth P",28,"BDV, Inc.","Grand Rapids, Michigan",Corporation,Director,6/2016,11/2016
"Senate-confirmed/DeVos, Elisabeth P",29,"BDV, Inc.","Grand Rapids, Michigan",Corporation,President,6/2016,11/2016
"Senate-confirmed/DeVos, Elisabeth P",30,Dick and Betsy DeVos Family Foundation,"Grand Rapids, Michigan",Non-Profit,President,1/2015,12/2015
"Senate-confirmed/Green, Mark Andrew",1,International Republican Institute,"Washington, District of Columbia",Non-Profit,President,1/2014,Present
"Senate-confirmed/Green, Mark Andrew",2,WorldTeach,"Boston, Massachusetts",Non-Profit,"Member, Board of Directors",3/2010,Present
"Senate-confirmed/Green, Mark Andrew",3,Maktaba Project,"LaJolla, California",Non-Profit,"Member, Board of Directors",6/2011,Present
"Senate-confirmed/Green, Mark Andrew",4,Center for U.S. Global Leadership (part of U.S. Global Leadership Coalition),"Washington, District of Columbia",Non-Profit,"Secretary, Board of Directors",2/2013,Present
"Senate-confirmed/Hargan, Eric D",1,"Greenberg Traurig, LLP","Chicago, Illinois",Law Firm,Shareholder,6/2010,Present
"Senate-confirmed/Hargan, Eric D",2,Loyola University Law School,"Chicago, Illinois",University/Colle ge,Adjunct Professor,1/2012,1/2017
"Senate-confirmed/Hargan, Eric D",3,The Center for Biologic Policy Evaluation,"Warrenton, Virginia",Non-Profit,President,10/2013,2/2017
"Senate-confirmed/Hassett, Kevin A",1,American Enterprise Institute,"Washington, District of Columbia",Non-Profit,State Farm James Q. Wilson Chair in American Politics and Culture  and Director of Research for Domestic Policy,2/1997,Present
"Senate-confirmed/Hassett, Kevin A",2,The Lindsey Group,"Fairfax, Virginia",Corporation,Senior Academic Advisor,9/2016,Present
"Senate-confirmed/Hassett, Kevin A",3,Sonecon,"Washington, District of Columbia",Corporation,Consultant,5/2002,Present
"Senate-confirmed/Hassett, Kevin A",4,Precision Economics,"Washington, District of Columbia",Corporation,Consultant,10/2001,Present
"Senate-confirmed/Hassett, Kevin A",5,Urban Baseball Foundation,"Washington, District of Columbia",Non-Profit,President and Founder,6/2009,Present
"Senate-confirmed/Hassett, Kevin A",6,Cote Capital,"New York, New York",LLC,Advisor,12/2012,Present
"Senate-confirmed/Hassett, Kevin A",7,The Cote Foundation,"New York, New York",Non-Profit,Director,12/2015,Present
"Senate-confirmed/Hassett, Kevin A",8,Randolph Foundation,"New York, New York",Non-Profit,Advisory Board Member,1/2013,Present
"Senate-confirmed/Hassett, Kevin A",9,Walmart,"Bentonville, Arkansas",Corporation,Advisory Council Member,10/2016,Present
"Senate-confirmed/Hassett, Kevin A",10,Citigroup,"New York, New York",Corporation,Consultant,11/2014,1/2016
"Senate-confirmed/Hassett, Kevin A",11,Columbia University Graduate School of Business,"New York, New York",University/Colle ge,Visiting Research Scholar,9/2016,Present
"Senate-confirmed/Hassett, Kevin A",12,American Action Forum,"Washington, District of Columbia",Non-Profit,Consultant,1/2016,12/2016
"Senate-confirmed/Kan, Derek T",1,"Lyft, Inc.","San Francisco, California",Corporation,General Manager,7/2015,Present
"Senate-confirmed/Kan, Derek T",2,Amtrak,"Washington, District of Columbia",Corporation,Board Member,12/2015,Present
